ano,nome,personagem,filme,ganhou
1948,Olivia de Havilland,Virginia Stuart Cunningham,The Snake Pit,False
1948,Irene Dunne,Martha Hanson,I Remember Mama,False
1948,Barbara Stanwyck,Leona Stevenson,"Sorry, Wrong Number",False
1949,Olivia de Havilland,Catherine Sloper,The Heiress,True
1949,Jeanne Crain,"Patricia ""Pinky"" Johnson",Pinky,False
1949,Susan Hayward,Eloise Winters,My Foolish Heart,False
1949,Deborah Kerr,Evelyn Boult,"Edward, My Son",False
1949,Loretta Young,Margaret,Come to the Stable,False
1950,Judy Holliday,"Emma ""Billie"" Dawn",Born Yesterday,True
1950,Anne Baxter,Eve Harrington,All About Eve,False
1950,Bette Davis,Margo Channing,All About Eve,False
1950,Eleanor Parker,Marie Allen,Caged,False
1950,Gloria Swanson,Norma Desmond,Sunset Boulevard,False
1951,Vivien Leigh,Blanche DuBois,A Streetcar Named Desire,True
1951,Katharine Hepburn,Rose Sayer,The African Queen,False
1951,Eleanor Parker,Mary McLeod,Detective Story,False
1951,Shelley Winters,Alice Tripp,A Place in the Sun,False
1951,Jane Wyman,Louise Mason,The Blue Veil,False
1952,Shirley Booth,Lola Delaney,"Come Back, Little Sheba",True
1952,Joan Crawford,Myra Hudson,Sudden Fear,False
1952,Bette Davis,Margaret Elliot,The Star,False
1952,Julie Harris,"Frances ""Frankie"" Addams",The Member of the Wedding,False
1952,Susan Hayward,Jane Froman,With a Song in My Heart,False
1953,Audrey Hepburn,Princess Ann,Roman Holiday,True
1953,Leslie Caron,Lili Daurier,Lili,False
1953,Ava Gardner,"Eloise ""Honey Bear"" Kelly",Mogambo,False
1953,Deborah Kerr,Karen Holmes,From Here to Eternity,False
1953,Maggie McNamara,Patty O'Neill,The Moon Is Blue,False
1954,Grace Kelly,Georgie Elgin,The Country Girl,True
1954,Dorothy Dandridge,Carmen Jones,Carmen Jones,False
1954,Judy Garland,Esther Victoria Blodgett / Vicki Lester,A Star Is Born,False
1954,Audrey Hepburn,Sabrina Fairchild,Sabrina,False
1954,Jane Wyman,Helen Phillips,Magnificent Obsession,False
1955,Anna Magnani,Serafina Delle Rose,The Rose Tattoo,True
1955,Susan Hayward,Lillian Roth,I'll Cry Tomorrow,False
1955,Katharine Hepburn,Jane Hudson,Summertime,False
1955,Jennifer Jones,Han Suyin,Love is a Many-Splendored Thing,False
1955,Eleanor Parker,Marjorie Lawrence,Interrupted Melody,False
1956,Ingrid Bergman,Anna Koreff,Anastasia,True
1956,Carroll Baker,Baby Doll Meighan,Baby Doll,False
1956,Katharine Hepburn,Lizzie Curry,The Rainmaker,False
1956,Nancy Kelly,Christine Penmark,The Bad Seed,False
1956,Deborah Kerr,Anna Leonowens,The King and I,False
1957,Joanne Woodward,Eve White / Eve Black / Jane,The Three Faces of Eve,True
1957,Deborah Kerr,Angela,"Heaven Knows, Mr. Allison",False
1957,Anna Magnani,Gioia,Wild Is the Wind,False
1957,Elizabeth Taylor,Susanna Drake,Raintree County,False
1957,Lana Turner,Constance MacKenzie,Peyton Place,False
1958,Susan Hayward,Barbara Graham,I Want to Live!,True
1958,Deborah Kerr,Sibyl Railton-Bell,Separate Tables,False
1958,Shirley MacLaine,Ginnie Moorehead,Some Came Running,False
1958,Rosalind Russell,Mame Dennis,Auntie Mame,False
1958,Elizabeth Taylor,"Margaret ""Maggie the Cat"" Pollitt",Cat on a Hot Tin Roof,False
1959,Simone Signoret,Alice Aisgill,Room at the Top,True
1959,Doris Day,Jan Morrow,Pillow Talk,False
1959,Audrey Hepburn,Gabrielle van der Mal,The Nun's Story,False
1959,Katharine Hepburn,Violet Venable,"Suddenly, Last Summer",False
1959,Elizabeth Taylor,Catherine Holly,"Suddenly, Last Summer",False
1960,Elizabeth Taylor,Gloria Wandrous,BUtterfield 8,True
1960,Greer Garson,Eleanor Roosevelt,Sunrise at Campobello,False
1960,Deborah Kerr,Ida Carmody,The Sundowners,False
1960,Shirley MacLaine,Fran Kubelik,The Apartment,False
1960,Melina Mercouri,Ilya,Never on Sunday,False
1961,Sophia Loren,Cesira,Two Women,True
1961,Audrey Hepburn,Holly Golightly / Lula Mae Barnes,Breakfast at Tiffany's,False
1961,Piper Laurie,Sarah Packard,The Hustler,False
1961,Geraldine Page,Alma Winemiller,Summer and Smoke,False
1961,Natalie Wood,"Wilma Dean ""Deanie"" Loomis",Splendor in the Grass,False
1962,Anne Bancroft,Annie Sullivan,The Miracle Worker,True
1962,Bette Davis,Baby Jane Hudson,What Ever Happened to Baby Jane?,False
1962,Katharine Hepburn,Mary Cavan Tyrone,Long Day's Journey into Night,False
1962,Geraldine Page,Alexandra Del Lago,Sweet Bird of Youth,False
1962,Lee Remick,Kirsten Arnesen Clay,Days of Wine and Roses,False
1963,Patricia Neal,Alma Brown,Hud,True
1963,Leslie Caron,Jane Fossett,The L-Shaped Room,False
1963,Shirley MacLaine,Irma La Douce,Irma la Douce,False
1963,Rachel Roberts,Margaret Hammond,This Sporting Life,False
1963,Natalie Wood,Angie Rossini,Love with the Proper Stranger,False
1964,Julie Andrews,Mary Poppins,Mary Poppins,True
1964,Anne Bancroft,Jo Armitage,The Pumpkin Eater,False
1964,Sophia Loren,Filumena Marturano,Marriage Italian Style,False
1964,Debbie Reynolds,Molly Brown,The Unsinkable Molly Brown,False
1964,Kim Stanley,Myra Savage,Séance on a Wet Afternoon,False
1965,Julie Christie,Diana Scott,Darling,True
1965,Julie Andrews,Maria von Trapp,The Sound of Music,False
1965,Samantha Eggar,Miranda Grey,The Collector,False
1965,Elizabeth Hartman,Selina D'Arcy,A Patch of Blue,False
1965,Simone Signoret,La Condesa,Ship of Fools,False
1966,Elizabeth Taylor,Martha,Who's Afraid of Virginia Woolf?,True
1966,Anouk Aimée,Anne Gauthier,A Man and a Woman,False
1966,Ida Kamińska,Rozalie Lautmann,The Shop on Main Street,False
1966,Lynn Redgrave,"Georgina ""Georgy"" Parkin",Georgy Girl,False
1966,Vanessa Redgrave,Leonie Delt,Morgan!,False
1967,Katharine Hepburn,Christina Drayton,Guess Who's Coming to Dinner,True
1967,Anne Bancroft,Mrs. Robinson,The Graduate,False
1967,Faye Dunaway,Bonnie Parker,Bonnie and Clyde,False
1967,Edith Evans,Maggie Ross,The Whisperers,False
1967,Audrey Hepburn,Susy Hendrix,Wait Until Dark,False
1968,Katharine Hepburn,Eleanor of Aquitaine,The Lion in Winter,True
1968,Barbra Streisand,Fanny Brice,Funny Girl,True
1968,Patricia Neal,Nettie Cleary,The Subject Was Roses,False
1968,Vanessa Redgrave,Isadora Duncan,Isadora,False
1968,Joanne Woodward,Rachel Cameron,"Rachel, Rachel",False
1969,Maggie Smith,Jean Brodie,The Prime of Miss Jean Brodie,True
1969,Geneviève Bujold,Anne Boleyn,Anne of the Thousand Days,False
1969,Jane Fonda,Gloria Beatty,"They Shoot Horses, Don't They?",False
1969,Liza Minnelli,"Mary Ann ""Pookie"" Adams",The Sterile Cuckoo,False
1969,Jean Simmons,Mary Wilson,The Happy Ending,False
1970,Glenda Jackson,Gudrun Brangwen,Women in Love,True
1970,Jane Alexander,Eleanor Backman,The Great White Hope,False
1970,Ali MacGraw,Jennifer Cavalleri-Barrett,Love Story,False
1970,Sarah Miles,Rosy Ryan,Ryan's Daughter,False
1970,Carrie Snodgress,"Bettina ""Tina"" Balser",Diary of a Mad Housewife,False
1971,Jane Fonda,Bree Daniels,Klute,True
1971,Julie Christie,Constance Miller,McCabe & Mrs. Miller,False
1971,Glenda Jackson,Alex Greville,Sunday Bloody Sunday,False
1971,Vanessa Redgrave,"Mary, Queen of Scots","Mary, Queen of Scots",False
1971,Janet Suzman,Empress Alexandra of Russia,Nicholas and Alexandra,False
1972,Liza Minnelli,Sally Bowles,Cabaret,True
1972,Diana Ross,Billie Holiday,Lady Sings the Blues,False
1972,Maggie Smith,Augusta Bertram,Travels with My Aunt,False
1972,Cicely Tyson,Rebecca Morgan,Sounder,False
1972,Liv Ullmann,Kristina Nilsson,The Emigrants,False
1973,Glenda Jackson,Vickie Allessio,A Touch of Class,True
1973,Ellen Burstyn,Chris MacNeil,The Exorcist,False
1973,Marsha Mason,Maggie Paul,Cinderella Liberty,False
1973,Barbra Streisand,Katie Morosky,The Way We Were,False
1973,Joanne Woodward,Rita Walden,"Summer Wishes, Winter Dreams",False
1974,Ellen Burstyn,Alice Hyatt,Alice Doesn't Live Here Anymore,True
1974,Diahann Carroll,Claudine Price,Claudine,False
1974,Faye Dunaway,Evelyn Cross Mulwray,Chinatown,False
1974,Valerie Perrine,Harriett Jolliff / Honey Bruce,Lenny,False
1974,Gena Rowlands,Mabel Longhetti,A Woman Under the Influence,False
1975,Louise Fletcher,Nurse Mildred Ratched,One Flew Over the Cuckoo's Nest,True
1975,Isabelle Adjani,Adèle Hugo / Adèle Lewly,The Story of Adele H.,False
1975,Ann-Margret,Nora Walker,Tommy,False
1975,Glenda Jackson,Hedda Gabler,Hedda,False
1975,Carol Kane,Gitl,Hester Street,False
1976,Faye Dunaway,Diana Christensen,Network,True
1976,Marie-Christine Barrault ,Marthe,Cousin Cousine,False
1976,Talia Shire,Adrian Pennino,Rocky,False
1976,Sissy Spacek,Carrie White,Carrie,False
1976,Liv Ullmann,Jenny Isaksson,Face to Face,False
1977,Diane Keaton,Annie Hall,Annie Hall,True
1977,Anne Bancroft,Emma Jacklin,The Turning Point,False
1977,Jane Fonda,Lillian Hellman,Julia,False
1977,Shirley MacLaine,Deedee Rodgers,Julia,False
1977,Marsha Mason,Paula McFadden,The Goodbye Girl,False
1978,Jane Fonda,Sally Hyde,Coming Home,True
1978,Ingrid Bergman,Charlotte Andergast,Autumn Sonata,False
1978,Ellen Burstyn,Doris,"Same Time, Next Year",False
1978,Jill Clayburgh,Erica Benton,An Unmarried Woman,False
1978,Geraldine Page,Eve,Interiors,False
1979,Sally Field,Norma Rae Webster,Norma Rae,True
1979,Jill Clayburgh,Marilyn Holmberg,Starting Over,False
1979,Jane Fonda,Kimberly Wells,The China Syndrome,False
1979,Marsha Mason,Jennie MacLaine,Chapter Two,False
1979,Bette Midler,Mary Rose Foster,The Rose,False
1980,Sissy Spacek,Loretta Lynn,Coal Miner's Daughter,True
1980,Ellen Burstyn,Edna Mae Harper-McCauley,Resurrection,False
1980,Goldie Hawn,Judy Benjamin,Private Benjamin,False
1980,Mary Tyler Moore,Beth Jarrett,Ordinary People,False
1980,Gena Rowlands,Gloria Swenson,Gloria,False
1981,Katharine Hepburn,Ethel Thayer,On Golden Pond,True
1981,Diane Keaton,Louise Bryant,Reds,False
1981,Marsha Mason,Georgia Hines,Only When I Laugh,False
1981,Susan Sarandon,Sally Matthews,Atlantic City,False
1981,Meryl Streep,Sara Woodruff and Anna,The French Lieutenant's Woman,False
1982,Meryl Streep,Sophie Zawistowski,Sophie's Choice,True
1982,Julie Andrews,Victor Grazinski / Victoria Grant,Victor/Victoria,False
1982,Jessica Lange,Frances Farmer,Frances,False
1982,Sissy Spacek,Beth Horman,Missing,False
1982,Debra Winger,Paula Pokrifki,An Officer and a Gentleman,False
1983,Shirley MacLaine,Aurora Greenway,Terms of Endearment,True
1983,Jane Alexander,Carol Wetherly,Testament,False
