ano,nome,personagem,filme,ganhou
2016,Emma Stone,Mia Dolan,"La La Land
",False
2017,Frances McDormand,Mildred Hayes,"Three Billboards Outside Ebbing, Missouri 
",True
2017,Jessica Chastain,Molly Bloom,"Molly's Game
",False
2017,Sally Hawkins,Elisa Esposito,"The Shape of Water
",False
2017,Margot Robbie,Tonya Harding,"I, Tonya
",False
2017,Saoirse Ronan,"Christine ""Lady Bird"" McPherson","Lady Bird
",False
2017,Meryl Streep,Katharine Graham,"The Post
",False
2018,Glenn Close,Joan Castleman,"The Wife
",True
2018,Lady Gaga,Ally Maine,"A Star Is Born
",True
2018,Yalitza Aparicio,"Cleodegaria ""Cleo"" Gutiérrez","Roma
",False
2018,Emily Blunt,Mary Poppins,"Mary Poppins Returns
",False
2018,Toni Collette,Annie Graham,"Hereditary
",False
2018,Olivia Colman,Queen Anne,"The Favourite
",False
2018,Melissa McCarthy,Lee Israel,"Can You Ever Forgive Me?
",False
2019,Renée Zellweger,Judy Garland,"Judy
",True
2019,Awkwafina,Billi Wang,"The Farewell
",False
2019,Cynthia Erivo,Harriet Tubman,"Harriet
",False
2019,Scarlett Johansson,Nicole Barber,"Marriage Story
",False
2019,Lupita Nyong'o,Adelaide Wilson / Red,"Us
",False
2019,Saoirse Ronan,"Josephine ""Jo"" March","Little Women
",False
2019,Charlize Theron,Megyn Kelly,"Bombshell
",False
2020,Carey Mulligan,"Cassandra ""Cassie"" Thomas","Promising Young Woman
",True
2020,Viola Davis,Ma Rainey,"Ma Rainey's Black Bottom
",False
2020,Andra Day,Billie Holiday,"The United States vs. Billie Holiday
",False
2020,Sidney Flanigan,Autumn Callahan,"Never Rarely Sometimes Always
",False
2020,Vanessa Kirby,Martha Weiss,"Pieces of a Woman
",False
2020,Frances McDormand,Fern,"Nomadland
",False
2020,Zendaya,Marie Jones,"Malcolm & Marie
",False
2021,Jessica Chastain,Tammy Faye Bakker,"The Eyes of Tammy Faye
",True
2021,Olivia Colman,Leda Caruso,"The Lost Daughter
",False
2021,Lady Gaga,Patrizia Reggiani,"House of Gucci
",False
2021,Alana Haim,Alana Kane,"Licorice Pizza
",False
2021,Nicole Kidman,Lucille Ball,"Being the Ricardos
",False
2021,Kristen Stewart,Princess Diana,"Spencer
",False
2022,Cate Blanchett,Lydia Tár,"Tár
",True
2022,Viola Davis,General Nanisca,"The Woman King
",False
2022,Danielle Deadwyler,Mamie Till,"Till
",False
2022,Margot Robbie,Nellie LaRoy,"Babylon
",False
2022,Michelle Williams,Mitzi Fabelman,"The Fabelmans
",False
2022,Michelle Yeoh,Evelyn Wang,"Everything Everywhere All at Once
",False
2023,Emma Stone,Bella Baxter,"Poor Things
",True
2023,Lily Gladstone,Mollie Kyle,"Killers of the Flower Moon
",False
2023,Sandra Hüller,Sandra Voyter,"Anatomy of a Fall
",False
2023,Greta Lee,Nora Moon,"Past Lives
",False
2023,Carey Mulligan,Felicia Montealegre Bernstein,"Maestro
",False
2023,Margot Robbie,Barbie,"Barbie
",False
2024,Demi Moore,Elisabeth Sparkle,"The Substance
",True
2024,Cynthia Erivo,Elphaba Thropp,"Wicked
",False
2024,Karla Sofía Gascón,Emilia Pérez,"Emilia Pérez
",False
2024,Marianne Jean-Baptiste,Pansy Deacon,"Hard Truths
",False
2024,Angelina Jolie,Maria Callas,"Maria
",False
2024,Mikey Madison,"Anora ""Ani"" Mikheeva","Anora
",False
