ano,nome,personagem,filme,ganhou
1962,Anne Bancroft,Anne Sullivan,The Miracle Worker,False
1962,Bette Davis,Jane Hudson,What Ever Happened to Baby Jane?,False
1962,Katharine Hepburn,Mary Tyrone,Long Day's Journey into Night,False
1962,Glynis Johns,Teresa Harnish,The Chapman Report,False
1962,Melina Mercouri,Phaedra,Phaedra,False
1962,Lee Remick,Kirsten Arnesen Clay,Days of Wine and Roses,False
1963,Molly Picon,Sophie Baker,Come Blow Your Horn,False
1963,Jill St. John,Peggy John,Come Blow Your Horn,False
1963,Ann-Margret,Kim MacAffee,Bye Bye Birdie,False
1963,Doris Day,Ellen Wagstaff Arden,"Move Over, Darling",False
1963,Leslie Caron,Jane Fosset,The L-Shaped Room,True
1963,Shirley MacLaine,Irma la Douce,Irma la Douce,True
1963,Natalie Wood,Angie Rossini,Love with the Proper Stranger,False
1963,Marina Vlady,Regina,The Conjugal Bed,False
1963,Polly Bergen,Lorna Medford,The Caretakers,False
1963,Geraldine Page,Carrie Berniers,Toys in the Attic,False
1963,Rachel Roberts,Margaret Hammond,This Sporting Life,False
1963,Romy Schneider,Annemarie von Hartman,The Cardinal,False
1963,Alida Valli,La Italiana,The Paper Man,False
1963,Audrey Hepburn,"Regina ""Reggie"" Lampert",Charade,False
1963,Hayley Mills,Nancy Carey,Summer Magic,False
1963,Joanne Woodward,Sam Blake / Mimi,A New Kind of Love,False
1964,Ava Gardner,Maxine Faulk,The Night of the Iguana,False
1964,Jean Seberg,Lilith Arthur,Lilith,False
1964,Rita Hayworth,Lili Alfredo,Circus World,False
1964,Julie Andrews,Mary Poppins,Mary Poppins,True
1964,Debbie Reynolds,Molly Brown,The Unsinkable Molly Brown,False
1964,Audrey Hepburn,Eliza Doolittle,My Fair Lady,False
1964,Sophia Loren,Filumena Marturano,Marriage Italian Style,False
1964,Melina Mercouri,Elizabeth Lipp,Topkapi,False
1964,Anne Bancroft,Jo Armitage,The Pumpkin Eater,True
1964,Geraldine Page,Evie Jackson,Dear Heart,False
1965,Samantha Eggar,Miranda Grey,The Collector,True
1965,Rita Tushingham,Nancy Jones,The Knack ...and How to Get It,False
1965,Natalie Wood,Daisy Clover,Inside Daisy Clover,False
1965,Maggie Smith,Desdemona,Othello,False
1965,Simone Signoret,La Condesa,Ship of Fools,False
1965,Elizabeth Hartman,Selina D'Arcey,A Patch of Blue,False
1965,Barbara Harris,Dr. Sandra Markowitz,A Thousand Clowns,False
1965,Julie Christie,Diana Scott,Darling,False
1965,Julie Andrews,Maria von Trapp,The Sound of Music,True
1965,Jane Fonda,Cat Ballou,Cat Ballou,False
1966,Lynn Redgrave,Georgy,Georgy Girl,True
1966,Natalie Wood,Alva Starr,This Property Is Condemned,False
1966,Virginia McKenna,Joy Adamson,Born Free,False
1966,Anouk Aimée,Anne Gauthier,A Man and a Woman,True
1966,Elizabeth Taylor,Martha,Who's Afraid of Virginia Woolf?,False
1966,Ida Kamińska,Rozalie Lautmann,The Shop on Main Street,False
1966,Elizabeth Hartman,Barbara Darling,You're a Big Boy Now,False
1966,Shirley MacLaine,Nicole Chang,Gambit,False
1966,Jane Fonda,Ellen Gordon,Any Wednesday,False
1966,Vanessa Redgrave,Leonie Delt,Morgan!,False
1967,Shirley MacLaine,Paulette / Maria Teresa / Linda / Edith / Eve Minou / Marie / Jeanne,Woman Times Seven,False
1967,Vanessa Redgrave,Guenevere,Camelot,False
1967,Julie Andrews,Millie Dillmount,Thoroughly Modern Millie,False
1967,Audrey Hepburn,"Joanna ""Jo"" Wallace",Two for the Road,False
1967,Faye Dunaway,Bonnie Parker,Bonnie and Clyde,False
1967,Audrey Hepburn,Susy Hendrix,Wait Until Dark,False
1967,Katharine Hepburn,Christina Drayton,Guess Who's Coming to Dinner,False
1967,Anne Heywood,Ellen March,The Fox,False
1967,Edith Evans,Maggie Ross,The Whisperers,True
1967,Anne Bancroft,Mrs. Robinson,The Graduate,True
1968,Julie Andrews,Gertrude Lawrence,Star!,False
1968,Lucille Ball,Helen North,"Yours, Mine and Ours",False
1968,Petula Clark,Sharon McLongeran,Finian's Rainbow,False
1968,Barbra Streisand,Fanny Brice,Funny Girl,True
1968,Mia Farrow,Rosemary Woodhouse,Rosemary's Baby,False
1968,Gina Lollobrigida,Carla Campbell,"Buona Sera, Mrs. Campbell",False
1968,Joanne Woodward,Rachel Cameron,"Rachel, Rachel",True
1968,Vanessa Redgrave,Isadora Duncan,Isadora,False
1968,Beryl Reid,"June ""George"" Buckridge",The Killing of Sister George,False
1968,Katharine Hepburn,Eleanor of Aquitaine,The Lion in Winter,False
1969,Anna Magnani,Rose Bombolini,The Secret of Santa Vittoria,False
1969,Ingrid Bergman,Stephanie Dickinson,Cactus Flower,False
1969,Shirley MacLaine,Charity Hope Valentine,Sweet Charity,False
1969,Barbra Streisand,Dolly Levi,"Hello, Dolly!",False
1969,Patty Duke,Natalie Miller,"Me, Natalie",True
1969,Mia Farrow,Mary,John and Mary,False
1969,Liza Minnelli,Pookie Adams,The Sterile Cuckoo,False
1969,Jean Simmons,Mary Wilson,The Happy Ending,False
1969,Maggie Smith,Jean Brodie,The Prime of Miss Jean Brodie,False
1969,Geneviève Bujold,Anne Boleyn,Anne of the Thousand Days,True
1969,Kim Darby,Doris Bolton Owen,Generation,False
1969,Dyan Cannon,Alice Henderson,Bob & Carol & Ted & Alice,False
1969,Jane Fonda,Gloria Beatty,"They Shoot Horses, Don't They?",False
1970,Ali MacGraw,Jennifer Cavalleri,Love Story,True
1970,Angela Lansbury,Countess Erthe Van Orstein,Something for Everyone,False
1970,Carrie Snodgress,Tina Balser,Diary of a Mad Housewife,True
1970,Julie Andrews,Lili Smith,Darling Lili,False
1970,Faye Dunaway,Lou Andreas Sand,Puzzle of a Downfall Child,False
1970,Melina Mercouri,Nina Kacew,Promise at Dawn,False
1970,Sarah Miles,Rosy Ryan,Ryan's Daughter,False
1970,Sandy Dennis,Gwen Kellerman,The Out-of-Towners,False
1970,Barbra Streisand,Doris,The Owl and the Pussycat,False
1970,Glenda Jackson,Gudrun Brangwen,Women in Love,False
1971,Dyan Cannon,Julie Messinger,Such Good Friends,False
1971,Jane Fonda,Bree Daniels,Klute,True
1971,Ruth Gordon,Maude Chardin,Harold and Maude,False
1971,Twiggy,Polly Browne,The Boy Friend,True
1971,Jessica Walter,Evelyn Draper,Play Misty for Me,False
1971,Vanessa Redgrave,"Mary, Queen of Scots","Mary, Queen of Scots",False
1971,Glenda Jackson,Elizabeth I of England,"Mary, Queen of Scots",False
1971,Angela Lansbury,Eglantine Price,Bedknobs and Broomsticks,False
1971,Elaine May,Henrietta Lowell,A New Leaf,False
1971,Sandy Duncan,Amy Cooper,Star Spangled Girl,False
1972,Goldie Hawn,Jill Tanner,Butterflies Are Free,False
1972,Maggie Smith,Augusta Bertram,Travels with My Aunt,False
1972,Juliet Mills,Pamela Piggott,Avanti!,False
1972,Liza Minnelli,Sally Bowles,Cabaret,True
1972,Carol Burnett,Tillie Schlaine,Pete 'n' Tillie,False
1972,Tuesday Weld,Maria Wyeth,Play It as It Lays,False
1972,Trish Van Devere,Aimee Brower,One Is a Lonely Number,False
1972,Joanne Woodward,Beatrice Hunsdorfer,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,False
1972,Liv Ullmann,Kristina Nilsson,The Emigrants,True
1972,Cicely Tyson,Rebecca Morgan,Sounder,False
1972,Diana Ross,Billie Holiday,Lady Sings the Blues,False
1973,Glenda Jackson,Vicky Allesio,A Touch of Class,True
1973,Tatum O'Neal,Addie Loggins,Paper Moon,False
1973,Cloris Leachman,Nettie Appleby,Charley and the Angel,False
1973,Yvonne Elliman,Mary Magdalene,Jesus Christ Superstar,False
1973,Liv Ullmann,Ann Stanley,40 Carats,False
1973,Elizabeth Taylor,Barbara Sawyer,Ash Wednesday,False
1973,Marsha Mason,Maggie Paul,Cinderella Liberty,True
1973,Ellen Burstyn,Chris MacNeil,The Exorcist,False
1973,Barbra Streisand,Kate Morosky,The Way We Were,False
1973,Joanne Woodward,Rita Walden,"Summer Wishes, Winter Dreams",False
1974,Helen Hayes,Mrs. Steinmetz,Herbie Rides Again,False
1974,Lucille Ball,Mame Dennis,Mame,False
1974,Diahann Carroll,Claudine Price,Claudine,False
1974,Faye Dunaway,Evelyn Cross Mulwray,Chinatown,False
1974,Gena Rowlands,Mabel Longhetti,A Woman Under the Influence,True
1974,Raquel Welch,Constance Bonacieux,The Three Musketeers,True
1974,Liv Ullmann,Marianne,Scenes from a Marriage,False
1974,Ellen Burstyn,Alice Hyatt,Alice Doesn't Live Here Anymore,False
1974,Valerie Perrine,Honey Bruce,Lenny,False
1974,Cloris Leachman,Frau Blücher,Young Frankenstein,False
1975,Karen Black,Faye Greener,The Day of the Locust,False
1975,Barbra Streisand,Fanny Brice,Funny Lady,False
1975,Marilyn Hassett,Jill Kinmont Boothe,The Other Side of the Mountain,False
1975,Glenda Jackson,Hedda Gabler,Hedda,False
1975,Ann-Margret,Nora Walker,Tommy,True
1975,Julie Christie,Jackie Shawn,Shampoo,False
1975,Faye Dunaway,Kathy Hale,Three Days of the Condor,False
1975,Louise Fletcher,Nurse Ratched,One Flew Over the Cuckoo's Nest,True
1975,Goldie Hawn,Jill Haynes,Shampoo,False
1975,Liza Minnelli,Claire,Lucky Lady,False
1976,Jodie Foster,Annabelle Andrews,Family Plot,False
1976,Goldie Hawn,"Amanda ""Duchess"" Quaid",The Duchess and the Dirtwater Fox,False
1976,Barbara Harris,Blanche Tyler,Family Plot,False
1976,Ellen Andrews,Freaky Friday,Family Plot,False
1976,Faye Dunaway,Diana Christensen,Network,True
1976,Sarah Miles,Anne Osbourne,The Sailor Who Fell from Grace with the Sea,False
1976,Liv Ullmann,Dr. Jenny Isaksson,Face to Face,False
1976,Talia Shire,Adrian Pennino,Rocky,False
1976,Barbra Streisand,Esther Hoffman,A Star Is Born,True
1976,Rita Moreno,Googie Gomez,The Ritz,False
1976,Glenda Jackson,Sarah Bernhardt,The Incredible Sarah,False
1977,Diane Keaton,Annie Hall,Annie Hall,True
1977,Diane Keaton,Theresa Dunn,Looking for Mr. Goodbar,False
1977,Kathleen Quinlan,Deborah Blake,I Never Promised You a Rose Garden,False
1977,Sally Field,"Carrie (""Frog"")",Smokey and the Bandit,False
1977,Jane Fonda,Lillian Hellman,Julia,True
1977,Marsha Mason,Paula McFadden,The Goodbye Girl,True
1977,Anne Bancroft,Emma Jacklin,The Turning Point,False
1977,Liza Minnelli,Francine Evans,"New York, New York",False
1977,Gena Rowlands,Myrtle Gordon,Opening Night,False
1977,Lily Tomlin,Margo Sperling,The Late Show,False
1978,Ingrid Bergman,Charlotte Andergast,Autumn Sonata,False
1978,Jill Clayburgh,Erica Benton,An Unmarried Woman,False
1978,Jane Fonda,Sally Hyde,Coming Home,True
1978,Jacqueline Bisset,Natasha O'Brien,Who Is Killing the Great Chefs of Europe?,False
1978,Ellen Burstyn,Doris,"Same Time, Next Year",True
1978,Maggie Smith,Diana Barrie,California Suite,True
1978,Geraldine Page,Eve,Interiors,False
1978,Glenda Jackson,Stevie Smith,Stevie,False
1978,Goldie Hawn,Gloria Mundy,Foul Play,False
1978,Olivia Newton-John,Sandy Olsson,Grease,False
1979,Bette Midler,Mary Rose Foster,The Rose,True
1979,Jill Clayburgh,Caterina Silveri,La Luna,False
1979,Marsha Mason,Dr. Alexandra Kendall,Promises in the Dark,False
1979,Lisa Eichhorn,Jean Moreton,Yanks,False
1979,Jane Fonda,Kimberly Wells,The China Syndrome,False
1979,Julie Andrews,Samantha Taylor,10,False
1979,Marsha Mason,Jennie MacLaine,Chapter Two,False
1979,Shirley MacLaine,Eve Rand,Being There,False
1979,Jill Clayburgh,Marilyn Holmberg,Starting Over,False
1979,Sally Field,Norma Rae Webster,Norma Rae,True
1980,Goldie Hawn,Judy Benjamin,Private Benjamin,False
1980,Bette Midler,Herself / The Divine Miss M,Divine Madness,False
1980,Ellen Burstyn,Edna Mae McCauley,Resurrection,False
1980,Deborah Raffin,Lena Canada,Touched by Love,False
1980,Irene Cara,Coco Hernandez,Fame,False
1980,Sissy Spacek,Loretta Lynn,Coal Miner's Daughter,True
1980,Dolly Parton,Doralee Rhodes,9 to 5,False
1980,Gena Rowlands,Gloria Swenson,Gloria,False
1980,Mary Tyler Moore,Beth Jarrett,Ordinary People,True
1980,Nastassja Kinski,Tess Durbeyfield,Tess,False
1981,Diane Keaton,Louise Bryant,Reds,False
1981,Sissy Spacek,Nita Longley,Raggedy Man,False
1981,Meryl Streep,Sarah Woodruff / Anna,The French Lieutenant's Woman,True
1981,Liza Minnelli,Linda Marolla,Arthur,False
1981,Carol Burnett,Kate Burroughs,The Four Seasons,False
1981,Jill Clayburgh,Ruth Loomis,First Monday in October,False
1981,Blair Brown,Dr. Nell Porter,Continental Divide,False
1981,Bernadette Peters,Eileen Everson,Pennies from Heaven,True
1981,Katharine Hepburn,Ethel Thayer,On Golden Pond,False
1981,Sally Field,Megan Carter,Absence of Malice,False
1982,Meryl Streep,Sophie Zawistowski,Sophie's Choice,True
1982,Diane Keaton,Faith Dunlap,Shoot the Moon,False
1982,Jessica Lange,Frances Farmer,Frances,False
1982,Sissy Spacek,Beth Horman,Missing,False
1982,Carol Burnett,Miss Hannigan,Annie,False
1982,Debra Winger,Paula Pokrifki,An Officer and a Gentleman,False
1982,Goldie Hawn,Paula McCullen,Best Friends,False
1982,Dolly Parton,Mona Stangley,The Best Little Whorehouse in Texas,False
1982,Julie Andrews,Victoria Grant / Victor Grezhinski,Victor/Victoria,True
1982,Aileen Quinn,Annie,Annie,False
1982,Sally Field,Kay,Kiss Me Goodbye,False
1983,Anne Bancroft,Anna Bronski,To Be or Not to Be,False
1983,Linda Ronstadt,Mabel,The Pirates of Penzance,False
1983,Jennifer Beals,Alex Owens,Flashdance,False
1983,Barbra Streisand,Yentl Mendel,Yentl,False
1983,Julie Walters,"Susan ""Rita"" White",Educating Rita,True
1983,Bonnie Bedelia,Shirley Roque,Heart Like a Wheel,False
1983,Meryl Streep,Karen Silkwood,Silkwood,False
1983,Shirley MacLaine,Aurora Greenway,Terms of Endearment,True
1983,Debra Winger,Emma Greenway-Horton,Terms of Endearment,False
1983,Jane Alexander,Carol Amen,Testament,False
1984,Jessica Lange,Jewell Ivy,Country,False
1984,Sissy Spacek,Mae Garvey,The River,False
1984,Diane Keaton,Kate Soffel,Mrs. Soffel,False
1984,Lily Tomlin,Edwina Cutwater,All of Me,False
1984,Mia Farrow,Tina Vitale,Broadway Danny Rose,False
1984,Sally Field,Edna Spalding,Places in the Heart,True
1984,Vanessa Redgrave,Olive Chancellor,The Bostonians,False
1984,Anne Bancroft,Estelle Rolfe,Garbo Talks,False
1984,Shelley Long,Lucy Brodsky,Irreconcilable Differences,False
1984,Kathleen Turner,Joan Wilder,Romancing the Stone,True
1985,Sally Field,Emma Moriarty,Murphy's Romance,False
1985,Rosanna Arquette,Roberta Glass,Desperately Seeking Susan,False
1985,Kathleen Turner,Irene Walker,Prizzi's Honor,True
1985,Mia Farrow,Cecelia,The Purple Rose of Cairo,False
1985,Whoopi Goldberg,Celie Johnson,The Color Purple,True
1985,Anne Bancroft,Miriam Ruth,Agnes of God,False
1985,Glenn Close,Jan / Maxie,Maxie,False
1985,Geraldine Page,Carrie Watts,The Trip to Bountiful,False
1985,Meryl Streep,Karen Blixen,Out of Africa,False
1985,Cher,"Florence ""Rusty"" Dennis",Mask,False
1986,Sissy Spacek,Rebecca Magrath / Babe Botrelle,Crimes of the Heart,True
1986,Bette Midler,Barbara Whiteman,Down and Out in Beverly Hills,False
1986,Melanie Griffith,Audrey Hankel,Something Wild,False
1986,Julie Andrews,Gillian Fairchild,That's Life!,False
1986,Kathleen Turner,Peggy Sue,Peggy Sue Got Married,False
1986,Anne Bancroft,Thelma Cates,"'night, Mother",False
1986,Julie Andrews,Stephanie Anderson,Duet for One,False
1986,Marlee Matlin,Sarah Norman,Children of a Lesser God,True
1986,Farrah Fawcett,Marjorie,Extremities,False
1986,Sigourney Weaver,Ellen Ripley,Aliens,False
1987,Holly Hunter,Jane Craig,Broadcast News,False
1987,Jennifer Grey,"Frances ""Baby"" Houseman",Dirty Dancing,False
1987,Cher,Loretta Castorini,Moonstruck,True
1987,Barbra Streisand,Claudia Draper,Nuts,False
1987,Diane Keaton,J.C. Wiatt,Baby Boom,False
1987,Bette Midler,Sandy Bronzinsky,Outrageous Fortune,False
1987,Faye Dunaway,Wanda Wilcox,Barfly,False
1987,Rachel Chagall,"Gabriela ""Gaby"" Brimmer",Gaby: A True Story,False
1987,Sally Kirkland,Anna,Anna,True
1987,Glenn Close,Alex Forrest,Fatal Attraction,False
1988,Susan Sarandon,Annie Savoy,Bull Durham,False
1988,Amy Irving,Isabelle Grossman,Crossing Delancey,False
1988,Sigourney Weaver,Dian Fossey,Gorillas in the Mist,True
1988,Shirley MacLaine,Madame Sousatzka,Madame Sousatzka,True
1988,Jamie Lee Curtis,Wanda Gershwitz,A Fish Called Wanda,False
1988,Michelle Pfeiffer,Angela DeMarco,Married to the Mob,False
1988,Jodie Foster,Sarah Tobias,The Accused,True
1988,Melanie Griffith,Tess McGill,Working Girl,True
1988,Meryl Streep,Lindy Chamberlain-Creighton,A Cry in the Dark,False
1988,Christine Lahti,Annie Pope / Cynthia Manfield,Running on Empty,False
1989,Meryl Streep,Mary Fisher,She-Devil,False
1989,Kathleen Turner,Barbara Rose,The War of the Roses,False
1989,Pauline Collins,Shirley Valentine-Bradshaw,Shirley Valentine,False
1989,Jessica Tandy,Daisy Werthan,Driving Miss Daisy,True
1989,Meg Ryan,Sally Albright,When Harry Met Sally...,False
1989,Michelle Pfeiffer,Susie Diamond,The Fabulous Baker Boys,True
1989,Andie MacDowell,Ann Bishop Mullany,"Sex, Lies, and Videotape",False
1989,Jessica Lange,Ann Talbot,Music Box,False
1989,Sally Field,M'Lynn Eatenton,Steel Magnolias,False
1989,Liv Ullmann,Gabriele,The Rose Garden,False
1990,Susan Sarandon,Nora Baker,White Palace,False
1990,Joanne Woodward,India Bridge,Mr. & Mrs. Bridge,False
1990,Kathy Bates,Annie Wilkes,Misery,True
1990,Demi Moore,Molly Jensen,Ghost,False
1990,Julia Roberts,Vivian Ward,Pretty Woman,True
1990,Mia Farrow,Alice Tate,Alice,False
1990,Andie MacDowell,Bronte Mitchell,Green Card,False
1990,Meryl Streep,Suzanne Vale,Postcards from the Edge,False
1990,Anjelica Huston,Lilly Dillon,The Grifters,False
1990,Michelle Pfeiffer,Katya Orlova,The Russia House,False
1991,Jodie Foster,Clarice Starling,The Silence of the Lambs,True
1991,Geena Davis,Thelma Dickinson,Thelma & Louise,False
1991,Annette Bening,Virginia Hill,Bugsy,False
1991,Laura Dern,Rose,Rambling Rose,False
1991,Kathy Bates,Evelyn Couch,Fried Green Tomatoes,False
1991,Michelle Pfeiffer,Frankie,Frankie and Johnny,False
1991,Anjelica Huston,Morticia Addams,The Addams Family,False
1991,Ellen Barkin,Amanda Brooks,Switch,False
1991,Bette Midler,Dixie Leonard,For the Boys,True
1991,Susan Sarandon,Louise Sawyer,Rambling Rose,False
1992,Shirley MacLaine,Pearl Berman,Used People,False
1992,Whoopi Goldberg,Deloris van Cartier,Sister Act,False
1992,Mary McDonnell,May-Alice Culhane,Passion Fish,False
1992,Susan Sarandon,Michaela Odone,Lorenzo's Oil,False
1992,Michelle Pfeiffer,Lurene Hallett,Love Field,False
1992,Sharon Stone,Catherine Tramell,Basic Instinct,False
1992,Emma Thompson,Margaret Schlegel,Howards End,True
1992,Geena Davis,Dottie Hinson,A League of Their Own,False
1992,Miranda Richardson,Rose Arbuthnot,Enchanted April,True
1992,Meryl Streep,Madeline Ashton,Death Becomes Her,False
1993,Anjelica Huston,Morticia Addams,Addams Family Values,False
1993,Diane Keaton,Carol Lipton,Manhattan Murder Mystery,False
1993,Meg Ryan,Annie Reed,Sleepless in Seattle,False
1993,Holly Hunter,Ada McGrath,The Piano,True
1993,Emma Thompson,Sally Kenton,The Remains of the Day,False
1993,Michelle Pfeiffer,Ellen Olenska,The Age of Innocence,False
1993,Angela Bassett,Tina Turner,What's Love Got to Do with It,True
1993,Stockard Channing,Ouisa Kittredge,Six Degrees of Separation,False
1993,Juliette Binoche,Julie de Courcy,Three Colours: Blue,False
1993,Debra Winger,Martha Horgan,A Dangerous Woman,False
1994,Emma Thompson,Dr. Diana Redding,Junior,False
1994,Jodie Foster,Nell Kellty,Nell,False
1994,Jennifer Jason Leigh,Dorothy Parker,Mrs. Parker and the Vicious Circle,False
1994,Jamie Lee Curtis,Helen Tasker,True Lies,True
