ano,nome,personagem,filme,ganhou
2014,Rosamund Pike,Gone Girl,Amy Elliott-Dunne,False
2014,Reese Witherspoon,Wild,Cheryl Strayed,False
2015,Brie Larson,Room,"Joy ""Ma"" Newsome",True
2015,Cate Blanchett,Carol,Carol Aird,False
2015,Helen Mirren,Woman in Gold,Maria Altmann,False
2015,Saoirse Ronan,Brooklyn,Eilis Lacey,False
2015,Sarah Silverman,I Smile Back,"Elaine ""Laney"" Brooks",False
2016,Emma Stone,La La Land,Mia Dolan,True
2016,Amy Adams,Arrival,Dr. Louise Banks,False
2016,Emily Blunt,The Girl on the Train,Rachel Watson,False
2016,Natalie Portman,Jackie,Jackie Kennedy,False
2016,Meryl Streep,Florence Foster Jenkins,Florence Foster Jenkins,False
2017,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Mildred Hayes,True
2017,Judi Dench,Victoria & Abdul,Queen Victoria,False
2017,Sally Hawkins,The Shape of Water,Elisa Esposito,False
2017,Margot Robbie,"I, Tonya",Tonya Harding,False
2017,Saoirse Ronan,Lady Bird,"Christine ""Lady Bird"" McPherson",False
2018,Glenn Close,The Wife,Joan Castleman,True
2018,Emily Blunt,Mary Poppins Returns,Mary Poppins,False
2018,Olivia Colman,The Favourite,Queen Anne,False
2018,Lady Gaga,A Star Is Born,Ally Maine,False
2018,Melissa McCarthy,Can You Ever Forgive Me?,Lee Israel,False
2019,Renée Zellweger,Judy,Judy Garland,True
2019,Cynthia Erivo,Harriet,Harriet Tubman,False
2019,Scarlett Johansson,Marriage Story,Nicole Barber,False
2019,Lupita Nyong'o,Us,Adelaide Wilson / Red,False
2019,Charlize Theron,Bombshell,Megyn Kelly,False
2020,Viola Davis,Ma Rainey's Black Bottom,Ma Rainey,True
2020,Amy Adams,Hillbilly Elegy,"Beverly ""Bev"" Vance",False
2020,Vanessa Kirby,Pieces of a Woman,Martha Weiss,False
2020,Frances McDormand,Nomadland,Fern,False
2020,Carey Mulligan,Promising Young Woman,"Cassandra ""Cassie"" Thomas",False
2021,Jessica Chastain,The Eyes of Tammy Faye,Tammy Faye Bakker,True
2021,Olivia Colman,The Lost Daughter,Leda Caruso,False
2021,Jennifer Hudson,Respect,Aretha Franklin,False
2021,Lady Gaga,House of Gucci,Patrizia Reggiani,False
2021,Nicole Kidman,Being the Ricardos,Lucille Ball,False
2022,Michelle Yeoh,Everything Everywhere All at Once,Evelyn Quan Wang,True
2022,Cate Blanchett,Tár,Lydia Tár,False
2022,Viola Davis,The Woman King,General Nanisca,False
2022,Ana de Armas,Blonde,Norma Jeane Mortenson / Marilyn Monroe,False
2022,Danielle Deadwyler,Till,Mamie Till,False
2023,Lily Gladstone,Killers of the Flower Moon,Mollie Burkhart,True
2023,Annette Bening,Nyad,Diana Nyad,False
2023,Carey Mulligan,Maestro,Felicia Montealegre,False
2023,Margot Robbie,Barbie,Barbie,False
2023,Emma Stone,Poor Things,Bella Baxter,False
2024,Demi Moore,The Substance,Elisabeth Sparkle,True
2024,Pamela Anderson,The Last Showgirl,Shelly Gardner,False
2024,Cynthia Erivo,Wicked,Elphaba Thropp,False
2024,Karla Sofía Gascón,Emilia Pérez,"Emilia Pérez / Juan ""Manitas"" Del Monte",False
2024,Mikey Madison,Anora,"Anora ""Ani"" Mikheeva",False
